domain,label,groupA,groupB,medA,medB,meanA,meanB,U,p,p_holm
diag,Diagnostic accuracy,Physician,SPICY-AI,3.0,4.0,3.32,4.22,471.5,9.703786644161717e-09,6.792650650913203e-08
diag,Diagnostic accuracy,Physician,GPT-4o,3.0,4.0,3.32,3.8,783.0,0.000467989377672076,0.001871957510688304
diag,Diagnostic accuracy,SPICY-AI,GPT-4o,4.0,4.0,4.22,3.8,1633.0,0.002814052977732862,0.007941931900545058
mgmt,Management appropriateness,Physician,SPICY-AI,3.0,4.0,2.98,4.2,275.5,1.136504187680304e-12,1.136504187680304e-11
mgmt,Management appropriateness,Physician,GPT-4o,3.0,4.0,2.98,3.78,492.5,1.3587440389678234e-08,8.152464233806941e-08
mgmt,Management appropriateness,SPICY-AI,GPT-4o,4.0,4.0,4.2,3.78,1635.5,0.0026473106335150195,0.007941931900545058
comp,Completeness,Physician,SPICY-AI,2.0,4.0,2.5,4.44,116.5,7.258565646353308e-16,8.71027877562397e-15
comp,Completeness,Physician,GPT-4o,2.0,4.0,2.5,3.88,324.5,3.419246451383977e-11,3.0773218062455794e-10
comp,Completeness,SPICY-AI,GPT-4o,4.0,4.0,4.44,3.88,1756.0,0.0001059491883694386,0.000529745941847193
clar,Clarity,Physician,SPICY-AI,3.0,4.0,3.06,4.38,243.5,3.6253184298345083e-13,3.987850272817959e-12
clar,Clarity,Physician,GPT-4o,3.0,4.0,3.06,4.04,407.0,5.739627131766776e-10,4.5917017054134205e-09
clar,Clarity,SPICY-AI,GPT-4o,4.0,4.0,4.38,4.04,1601.0,0.005699755205484699,0.007941931900545058
